code,Country,Deaths,GDP PPP per capita,Life expectancy,Continent,Urbanization rate,Ladder score,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
NLD,Netherlands,9.169106187,60299,82.1,Europe,92.2,7.464,0.942,72.4,0.913,0.175,0.338
NZL,New Zealand,11.29634236,42045,82.1,Oceania,86.7,7.277,0.948,73.4,0.929,0.134,0.242
NIC,Nicaragua,5.862555356,5297,74.3,Americas,59,5.972,0.864,67.657,0.836,0.02,0.664
NER,Niger,7.634457206,1152,62,Africa,16.6,5.074,0.641,53.78,0.806,0.018,0.693
NGA,Nigeria,7.539960024,6172,54.3,Africa,52,4.759,0.74,50.102,0.737,0.037,0.878
MKD,North Macedonia,6.779789281,17378,75.7,Europe,58.5,5.101,0.805,65.474,0.751,0.038,0.905
NOR,Norway,9.268806468,79638,82.5,Europe,83,7.392,0.954,73.3,0.96,0.093,0.27
PAK,Pakistan,4.447947653,6016,67.1,Asia,37.2,4.934,0.651,58.709,0.726,0.098,0.787
PAN,Panama,4.979081169,28456,78.3,Americas,68.4,6.18,0.896,69.652,0.872,-0.166,0.856
PRY,Paraguay,5.752984965,13213,74.1,Americas,62.2,5.653,0.893,65.9,0.876,0.028,0.882
PER,Peru,3.138703281,15399,76.5,Americas,78.3,5.84,0.832,68.25,0.822,-0.154,0.891
PHL,Philippines,6.007670191,10094,71.1,Asia,47.4,5.88,0.83,62,0.917,-0.097,0.742
POL,Poland,13.94814001,35651,78.5,Europe,60,6.166,0.898,69.702,0.841,-0.165,0.735
PRT,Portugal,7.687679698,34936,81.9,Europe,66.3,5.929,0.879,72.6,0.892,-0.244,0.887
ROU,Romania,9.158621987,29555,75.9,Europe,56.4,6.14,0.832,67.355,0.845,-0.219,0.938
RUS,Russia,25.08766881,30820,72.4,Europe,74.8,5.477,0.903,64.703,0.718,-0.111,0.845
RWA,Rwanda,10.95083997,2642,68.7,Africa,17.4,3.415,0.552,61.4,0.897,0.061,0.167
SAU,Saudi Arabia,2.947895451,56912,75,Asia,84.3,6.494,0.891,66.603,0.877,-0.149,0.684
SEN,Senegal,12.91802401,4079,67.7,Africa,48.1,5.132,0.71,59.802,0.695,-0.046,0.801
SRB,Serbia,12.67411617,19767,75.8,Europe,56.4,6.078,0.873,68.6,0.778,0.002,0.835
SLE,Sierra Leone,9.881137938,1765,54.3,Africa,42.9,3.849,0.63,51.651,0.717,0.084,0.866
SGP,Singapore,7.32711794,105689,83.8,Asia,100,6.377,0.915,76.953,0.927,-0.018,0.082
SVK,Slovakia,9.474849651,38321,77.4,Europe,53.8,6.331,0.936,69.201,0.766,-0.124,0.911
SVN,Slovenia,14.37870893,40344,81.2,Europe,55.1,6.461,0.948,71.4,0.949,-0.101,0.806
ZAF,South Africa,11.15028933,13965,63.9,Africa,67.4,4.956,0.86,56.904,0.749,-0.067,0.86
ESP,Spain,5.506500793,43007,83.4,Europe,80.8,6.491,0.932,74.7,0.761,-0.081,0.745
LKA,Sri Lanka,19.80041876,14509,76.8,Asia,18.7,4.325,0.827,67.299,0.841,0.079,0.863
SWE,Sweden,11.07673553,55989,82.7,Europe,88,7.363,0.934,72.7,0.945,0.086,0.237
TJK,Tajikistan,5.753966106,3751,70.9,Asia,27.5,5.466,0.86,64.281,0.832,-0.056,0.553
TZA,Tanzania,8.817061528,3652,65,Africa,35.2,3.623,0.702,57.999,0.833,0.183,0.577
THA,Thailand,10.44247325,21361,76.9,Asia,51.4,5.985,0.888,67.401,0.884,0.287,0.895
TGO,Togo,12.26024518,1913,60.8,Africa,42.8,4.107,0.569,54.914,0.619,0.032,0.772
TUN,Tunisia,3.110925233,13093,76.5,Africa,69.6,4.596,0.691,67.201,0.656,-0.201,0.87
TUR,Turkey,3.310770446,29327,78.3,Asia,76.1,4.948,0.822,67.199,0.576,-0.139,0.776
TKM,Turkmenistan,8.682978398,21855,68.1,Asia,52.5,5.066,0.983,62.409,0.877,0.273,0.888
UGA,Uganda,11.54396233,2753,63,Africa,25,4.636,0.781,56.101,0.709,0.122,0.855
UKR,Ukraine,25.62222536,10130,72,Europe,69.6,4.875,0.888,64.902,0.724,-0.011,0.924
ARE,United Arab Emirates,5.07479194,70441,77.8,Asia,87,6.561,0.844,67.333,0.932,0.074,0.589
GBR,United Kingdom,7.356320552,48169,81.2,Europe,83.9,7.064,0.934,72.5,0.859,0.233,0.459
USA,United States,12.83575668,67426,78.9,Americas,82.7,6.951,0.92,68.2,0.837,0.098,0.698
URY,Uruguay,16.81815712,24516,77.8,Americas,95.5,6.431,0.925,69.1,0.896,-0.092,0.59
UZB,Uzbekistan,9.3869302,9595,71.5,Asia,50.4,6.179,0.918,65.255,0.97,0.311,0.515
VEN,Venezuela,8.677951247,16055,72.1,Americas,88.3,4.892,0.861,66.7,0.615,-0.169,0.827
VNM,Vietnam,7.422037807,8677,75.3,Asia,37.3,5.411,0.85,68.034,0.94,-0.098,0.796
YEM,Yemen,6.013435168,2312,66.1,Asia,36.6,3.658,0.832,57.122,0.602,-0.147,0.8
ZMB,Zambia,13.06006094,4174,63.5,Africa,44.6,4.073,0.708,55.809,0.782,0.061,0.823
ZWE,Zimbabwe,26.39176915,2778,61.2,Africa,32.2,3.145,0.75,56.201,0.677,-0.047,0.821
